group,subgroup,title,desc,loc,text,date,priority,type
"Publications, Presentations, Grants, and Products",Software/Data Products,,,,Academy of Nutrition and Dietetics Health Informatics Infrastructure (ANDHII). [Available at andhii.org/info](http://andhii.org/info),7/1/2014,,text
"Publications, Presentations, Grants, and Products",Software/Data Products,,,,"Patient Simulation: Putting Malnutrition Screening, Assessment, Diagnosis, and Intervention into Practice (Interactive Version). August, 2013. Abbott Nutrition Health Institute. *Named most popular course in its category for 2014.* [Available at anhi.org](http://anhi.org/courses/7D801AEE7DCE45FAB9C49857D88B0FAF)",8/1/2013,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Comparative Effectiveness Research Methods. Guest Lecture for Rush University Dietetic Internship Program. Chicago, IL. January, 2017",1/24/2017,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Comparative Effectiveness Research Methods. Guest Lecture for Case Western Reserve University Master of Science in Nutrition Program. Cleveland, OH. October, 2016",10/25/2016,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Comparative Effectiveness Research Methods. Guest Lecture for Rush University Dietetic Internship Program. Chicago, IL. February, 2016",2/1/2016,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Comparative Effectiveness Research Methods. Guest Lecture for Case Western Reserve University Master of Science in Nutrition Program. Cleveland, OH. October, 2015",10/25/2015,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Comparative Effectiveness Research Methods. Guest Lecture for Rush University Dietetic Internship Program. Chicago, IL. March, 2015",3/1/2015,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Hand RK, Murphy WJ, Field LB, Lee JA, Parrott SJ, Ferguson M, Skipper A, Steiber AL. Validation of the Academy/A.S.P.E.N. Malnutrition Clinical Characteristics. J Acad Nutr. 2016 May; 116(5).",5/1/2016,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Thompson KL, Davidson P, Swan WI, Hand RK, Rising C, Dunn AV, Lewis N, Murphy WJ. Nutrition Care Process Chains: The Missing Link Between Research and Evidence-Based Practice. J Acad Nutr Diet. 2015 Sep;115(9):1491-8.",9/1/2015,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"urphy WJ, Hand RK, Steiber AL. Practicalities of Using the Nutrition Care Process in Research. J Ren Nutr. 2015 Jul;25(4):393-4.",7/1/2015,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Murphy WJ, Steiber AL. A new breed of evidence and the tools to generate it: introducing ANDHII. J Acad Nutr Diet. 2015 Jan;115(1):19-22.",1/2/2015,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Steiber AL, Leon JB, Hand RK, Murphy WJ, Fouque D, Parrott JS, Kalantar-Zadeh K, Cuppari L. Using a web-based nutrition algorithm in hemodialysis patients. J Ren Nutr. 2015 Jan;25(1):6-16.",1/1/2015,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Myers EF, Khoo CS, Murphy W, Steiber A, Agarwal S. A critical assessment of research needs identified by the dietary guidelines committees from 1980 to 2010.J Acad Nutr Diet. 2013 Jul;113(7):957-971.",7/1/2013,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Murphy WJ, Steiber A, Connery GC, Carder J, Spry L, Hoppel C. Altered carnitine metabolism in dialysis patients with reduced physical function may be due to dysfunctional fatty acid oxidation. Nephrol Dial Transplant. 2012 Jan;27(1):304-10.",1/1/2012,,text
"Publications, Presentations, Grants, and Products",Research Grants,,,,CDR Simulations Fellowship: Mentoring a fellow to develop and evaluate the use of virtual world simulation to contribute to the supervised practice experience requirements for dietetics registration. Supported by the Commission on Dietetic Registration.,5/1/2015,,text
"Publications, Presentations, Grants, and Products",Research Grants,,,,"Prediabetes Evidence-Based Practice Guideline Implementation and Effectiveness: A multi-center, practice-based, comparative effectiveness study using novel techniques to measure implementation and efficacy.",10/1/2014,,text
"Publications, Presentations, Grants, and Products",Research Grants,,,,"Validation of the Malnutrition Clinical Characteristics: A prospective, multi-center, observational study to evaluate the ability of the Characteristics Recommended for the Identification and Documentation of Adult Malnutrition, published via joint consensus statement from the Academy of Nutrition and Dietetics and the American Society for Parenteral and Enteral Nutrition, to predict malnutrition-related outcomes in acute care patients. Supported by Abbott Nutrition",1/1/2014,,text
"Publications, Presentations, Grants, and Products",Research Grants,,,,Academy of Nutrition and Dietetics Health Informatics Infrastructure (ANDHII) Feasibility and Validity Testing: A study to establish the relevance of data collected via ANDHII and the feasibility of implementation in clinical nutrition care settings; Supported by Commission on Dietetic Registration,1/1/2013,,text
"Publications, Presentations, Grants, and Products",Research Grants,,,,Nutrition Evidence Library Quality Assessment Tool Validity and Reliability Testing: A study to establish criterion validity and inter-rater reliability for a systematic review research quality assessment tool. Co-Investigator; Supported by US Department of Agriculture Center for Nutrition Policy and Promotion,1/1/2012,,text
"Publications, Presentations, Grants, and Products",Research Posters,,,,"Validation of an Automated Process for the Comparison of Nutrition Care with Evidence-Based Nutrition Practice Guidelines. American Medical Informatics Association Annual Symposium. Chicago, IL. November, 2016.",11/16/2016,,text
"Publications, Presentations, Grants, and Products",Research Posters,,,,"The Imprecision of Predictive Equations for Energy Needs: Statistical Inference of the Margin of Error for Individuals (poster). Experimental Biology Annual Meeting. San Diego, CA. April, 2016.",4/1/2016,,text
"Publications, Presentations, Grants, and Products",Research Posters,,,,"Carpenter SK, Niedert KC, Murphy WJ. Identifying Needs of Supervised Practice Programs in Dietetics: Settings, Life Stages, Populations, Conditions, Competencies, and Skills in Highest Demand to Be Addressed through Computerized Simulation. J Acad Nutr Diet. 2015 Sep;113(9):A53",10/1/2015,,text
"Publications, Presentations, Grants, and Products",Research Posters,,,,"Academy of Nutrition and Dietetics Health Informatics Infrastructure Feasibility Testing: First Results from a New Web-Based Tool to Study Nutrition Care and Outcomes. 2014 Food & Nutrition Conference & Expo. Atlanta, GA. Abstract available: Journal of the Academy of nutrition and Dietetics, 2014. 114(9) p. A43",10/1/2014,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Cultivating Research Skills: Working with your IRB and Getting started with De-Identified Data. 2016 Food & Nutrition Conference & Expo. Boston, MA. ",10/5/2016,1,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Are you making a difference? Prove it with ANDHII. Virginia Academy of Nutrition and Dietetics Annual Symposium. Fairfax, VA. April, 2016.",4/2/2016,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Are you making a difference? Prove it with ANDHII. Tennessee Academy of Nutrition and Dietetics Annual Symposium. Nashville, TN. March, 2016.",3/1/2016,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Patient Simulation: Putting Malnutrition Screening, Assessment, Diagnosis, and Intervention into Practice (Narrated Version). October, 2015. Abbott Nutrition Health Institute. [Available at anhi.org](http://anhi.org/courses/adult/malnutrition/F932AD5803DA405E8368761B198F840F)",10/2/2015,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Are you Making a Difference? Prove It with ANDHII. Chicago Academy of Nutrition and Dietetics Fall 2015 Dinner Meeting. September, 2015. Chicago, IL.",9/1/2015,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Putting Your Work to Work: How to Turn Your Daily Routine into Outcomes Data with ANDHII. Wisconsin Academy of Nutrition and Dietetics Webinar. August, 2014.",8/1/2014,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Outcomes Research: Can YOU prove it? Michigan Academy of Nutrition and Dietetics Annual Conference. May, 2014. Bay City, MI.",5/1/2014,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Informatics Update. Clinical Nutrition Managers Dietetics Practice Group National Symposium. April, 2014. Asheville, NC.",4/1/2014,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Innovative Learning Techniques for Malnutrition Diagnosis. American Society for Parenteral and Enteral Nutrition Clinical Nutrition Week 2013, Phoenix, AZ.",2/1/2014,,text
"Publications, Presentations, Grants, and Products",Symposia Presentations,,,,"Plasma Acylcarnitine Chain Length Is Associated with Reduced Physical Function and Increased Inflammation in Hemodialysis Patients. Food and Nutrition Conference & Expo 2010, Boston, MA. Abstract available: Journal of the American Dietetic Association, 2010. 110(9): p. A88.",10/1/2010,,text
"Publications, Presentations, Grants, and Products",Skills and Experience,R,,,,,3,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,SQL,,,,,3,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Data Cleaning,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Regression Modeling,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Machine Learning,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,SQL Server Management Studio,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Database Design,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Database Administration,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,CSS,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,knitr,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Shiny,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Statistical Analysis,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Reproducible Research,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,glm,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,nls,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,MARS,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,caret,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Data Visualization,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Experimental Design,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Risk of Bias Assessment,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Clinical Research,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Software Design,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Random Forest,,,,,0.5,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Grant writing,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,IRB,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,HIPAA,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Public Speaking,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,Scientific Writing,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,WebVR,,,,,3,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,A-Frame,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,JavaScript,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Skills and Experience,SQL Server R Integration,,,,,1,wordcloud
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Do Evidence-Based Guidelines Make a Difference in Practice? Webinar. April, 2017",4/112017,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Introducing Academy Secondary Datasets. Webinar. May, 2017",5/23/2017,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Integrating Evidence Analysis Library (EAL), electronic Nutrition Care Process (eNCPT), and Academy of Nutrition and Dietetics Health Informatics Infrastructure (ANDHII) to Improve your Practice. Grand Rapids, MI. May, 2017",5/3/2017,,text
"Publications, Presentations, Grants, and Products",Lectures/Professional Ed.,,,,"Integrating Evidence Analysis Library (EAL), electronic Nutrition Care Process (eNCPT), and Academy of Nutrition and Dietetics Health Informatics Infrastructure (ANDHII) to Improve your Practice. Cleveland, OH. May, 2017",5/19/2017,,text
"Publications, Presentations, Grants, and Products",Skills and Experience,Mixed-Effects Modeling,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Research Posters,,,,"Patient Outcomes from Nutrition Education and Counseling Reported with NCPT via ANDHII. Food and Nutrition Conference and Expo. Chicago, IL. November, 2017",10/22/2017,,text
"Publications, Presentations, Grants, and Products",Research Posters,,,,"Does Practice Follow Guidelines? Improving Accuracy for Comparison of Structured and Unstructured Text in Medical Records to Expectations. American Medical Informatics Association Annual Symposium. Washington, DC. November, 2017.",11/7/2017,,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Murphy WJ, Yadrick MM, Steiber AL, Mohan V, Papoutsakis C. Academy of Nutrition and Dietetics Health Informatics Infrastructure (ANDHII): A Pilot Study on the Documentation of the Nutrition Care Process and the Usability of ANDHII by Registered Dietitian Nutritionists. J Acad Nutr Diet. 2018 Oct;118(10):1966-1974.",03/01/2018,1,text
"Publications, Presentations, Grants, and Products",Skills and Experience,MongoDB,,,,,2,wordcloud
"Publications, Presentations, Grants, and Products",Software/Data Products,,,,"Unraveling Bandersnatch with Immersive Data Visualization. Interactive network visualization of the choices, hidden game logic, and alternate timelines that make Netflix's Bandersnatch so intoxicatingly complex. [Available at https://www.linkedin.com/in/wmurphyrd/detail/recent-activity/posts/](https://www.linkedin.com/pulse/unraveling-bandersnatch-immersive-data-visualization-william-murphy/)",01/14/2019,1,text
"Publications, Presentations, Grants, and Products",Peer-Reviewed Publications,,,,"Murphy W, Hand RK. Outcomes Research and Economic Analysis. In: Van Horn L, Beto J, eds. Research: Successful Approaches in Nutrition and Dietetics. 4th ed. Chicago, IL: Academy of Nutrition and Dietetics; 2019:350-379.",02/19/2019,1,text
